#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A67B3C
#Date Time: 2024-10-23 16:13:44.745
#Sample rate: 1.42857e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 5 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 20 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
0.0001697303143850167,-0.0007688276835293622
0.0001698003143850166,0.0008990131540578637
0.0001698703143850166,0.001899717656610199
0.0001699403143850167,0.001232581321575309
0.0001700103143850166,0.0008990131540578637
0.0001700803143850166,0.0008990131540578637
0.0001701503143850167,0.001232581321575309
0.0001702203143850166,0.0005654449865404186
0.0001702903143850166,0.0008990131540578637
0.0001703603143850167,0.0002318768190229734
0.0001704303143850166,-0.000435259516011917
0.0001705003143850166,-0.000435259516011917
0.0001705703143850167,-0.001102395851046807
0.0001706403143850166,-0.001102395851046807
0.0001707103143850166,-0.001769532186081698
0.0001707803143850167,-0.001769532186081698
0.0001708503143850166,-0.002770236688634033
0.0001709203143850166,-0.003103804856151479
0.0001709903143850167,-0.003437373023668924
0.0001710603143850166,-0.003770941191186369
0.0001711303143850166,-0.004104509358703814
0.0001712003143850167,-0.00443807752622126
0.0001712703143850166,-0.004771645693738704
0.0001713403143850166,-0.004771645693738704
0.0001714103143850167,-0.00510521386125615
0.0001714803143850166,-0.004771645693738704
0.0001715503143850166,-0.00510521386125615
0.0001716203143850167,-0.00510521386125615
0.0001716903143850166,-0.004104509358703814
0.0001717603143850166,-0.00443807752622126
0.0001718303143850166,-0.004104509358703814
0.0001719003143850166,-0.004104509358703814
0.0001719703143850166,-0.003103804856151479
0.0001720403143850166,-0.002103100353599143
0.0001721103143850166,-0.001435964018564253
0.0001721803143850166,-0.000435259516011917
0.0001722503143850166,-0.0007688276835293622
0.0001723203143850166,-0.000435259516011917
0.0001723903143850166,0.0002318768190229734
0.0001724603143850166,-0.000435259516011917
0.0001725303143850166,0.0002318768190229734
0.0001726003143850166,0.0008990131540578637
0.0001726703143850166,0.0008990131540578637
0.0001727403143850166,0.0005654449865404186
0.0001728103143850166,0.001232581321575309
0.0001728803143850166,0.001232581321575309
0.0001729503143850166,0.001232581321575309
0.0001730203143850166,0.0005654449865404186
0.0001730903143850166,0.0008990131540578637
0.0001731603143850166,0.0002318768190229734
0.0001732303143850166,0.0002318768190229734
0.0001733003143850166,-0.0007688276835293622
0.0001733703143850166,-0.001435964018564253
0.0001734403143850166,-0.001102395851046807
0.0001735103143850166,-0.002103100353599143
0.0001735803143850166,-0.002103100353599143
0.0001736503143850166,-0.002770236688634033
0.0001737203143850166,-0.003103804856151479
0.0001737903143850166,-0.002770236688634033
0.0001738603143850166,-0.003770941191186369
0.0001739303143850166,-0.003437373023668924
0.0001740003143850166,-0.003437373023668924
0.0001740703143850166,-0.004104509358703814
0.0001741403143850166,-0.004104509358703814
0.0001742103143850166,-0.003437373023668924
0.0001742803143850166,-0.003437373023668924
0.0001743503143850166,-0.00443807752622126
0.0001744203143850166,-0.003770941191186369
0.0001744903143850166,-0.003103804856151479
0.0001745603143850166,-0.003103804856151479
0.0001746303143850166,-0.002436668521116588
0.0001747003143850166,-0.002103100353599143
0.0001747703143850166,-0.002103100353599143
0.0001748403143850166,-0.002103100353599143
0.0001749103143850166,-0.001102395851046807
0.0001749803143850166,-0.0001016913484944718
0.0001750503143850166,-0.000435259516011917
0.0001751203143850166,-0.0007688276835293622
0.0001751903143850166,-0.000435259516011917
0.0001752603143850166,-0.0001016913484944718
0.0001753303143850166,0.0005654449865404186
0.0001754003143850166,0.001232581321575309
0.0001754703143850166,0.001232581321575309
0.0001755403143850166,0.0008990131540578637
0.0001756103143850166,0.0005654449865404186
0.0001756803143850166,0.0008990131540578637
0.0001757503143850166,0.001566149489092754
0.0001758203143850166,0.0005654449865404186
0.0001758903143850166,0.0002318768190229734
0.0001759603143850167,0.0002318768190229734
0.0001760303143850166,-0.0001016913484944718
0.0001761003143850166,0.0005654449865404186
0.0001761703143850167,-0.001435964018564253
0.0001762403143850166,-0.001102395851046807
0.0001763103143850166,-0.001769532186081698
0.0001763803143850167,-0.002436668521116588
0.0001764503143850166,-0.002436668521116588
0.0001765203143850166,-0.002770236688634033
0.0001765903143850167,-0.003103804856151479
0.0001766603143850166,-0.003770941191186369
0.0001767303143850166,-0.003770941191186369
0.0001768003143850167,-0.003770941191186369
0.0001768703143850166,-0.003437373023668924
0.0001769403143850166,-0.003770941191186369
0.0001770103143850167,-0.003437373023668924
0.0001770803143850166,-0.003770941191186369
0.0001771503143850166,-0.003437373023668924
0.0001772203143850167,-0.003437373023668924
0.0001772903143850166,-0.003103804856151479
0.0001773603143850166,-0.001769532186081698
0.0001774303143850167,-0.002103100353599143
0.0001775003143850166,-0.002103100353599143
0.0001775703143850166,-0.001435964018564253
0.0001776403143850166,-0.001102395851046807
0.0001777103143850166,-0.001435964018564253
0.0001777803143850166,-0.0001016913484944718
0.0001778503143850166,-0.000435259516011917
0.0001779203143850166,-0.0001016913484944718
0.0001779903143850166,0.0008990131540578637
0.0001780603143850166,0.0005654449865404186
0.0001781303143850166,0.0005654449865404186
0.0001782003143850166,0.001232581321575309
0.0001782703143850166,0.0008990131540578637
0.0001783403143850166,0.002233285824127644
0.0001784103143850166,0.001232581321575309
0.0001784803143850166,0.0005654449865404186
0.0001785503143850166,0.0008990131540578637
0.0001786203143850166,0.0005654449865404186
0.0001786903143850166,0.0005654449865404186
0.0001787603143850166,-0.0001016913484944718
0.0001788303143850166,-0.0007688276835293622
0.0001789003143850166,-0.001102395851046807
0.0001789703143850166,-0.001435964018564253
0.0001790403143850166,-0.001435964018564253
0.0001791103143850166,-0.002103100353599143
0.0001791803143850166,-0.002436668521116588
0.0001792503143850166,-0.002436668521116588
0.0001793203143850166,-0.002770236688634033
0.0001793903143850166,-0.004104509358703814
0.0001794603143850166,-0.003770941191186369
0.0001795303143850166,-0.004104509358703814
0.0001796003143850166,-0.004104509358703814
0.0001796703143850166,-0.003437373023668924
0.0001797403143850166,-0.003770941191186369
0.0001798103143850166,-0.004104509358703814
0.0001798803143850166,-0.003103804856151479
0.0001799503143850166,-0.002770236688634033
0.0001800203143850166,-0.003103804856151479
0.0001800903143850166,-0.002436668521116588
0.0001801603143850166,-0.002436668521116588
0.0001802303143850166,-0.002770236688634033
0.0001803003143850166,-0.001435964018564253
0.0001803703143850166,-0.001435964018564253
0.0001804403143850166,-0.001435964018564253
0.0001805103143850166,-0.0007688276835293622
0.0001805803143850166,0.0002318768190229734
0.0001806503143850166,-0.0001016913484944718
0.0001807203143850166,0.0005654449865404186
0.0001807903143850166,0.0005654449865404186
0.0001808603143850166,0.001566149489092754
0.0001809303143850166,0.0005654449865404186
0.0001810003143850166,0.0008990131540578637
0.0001810703143850166,0.001232581321575309
0.0001811403143850167,0.0005654449865404186
